text_label,label,network,parcel_name
7Networks_RH_SalVentAttn_Med_8,318,SalVentAttn,RH_SalVentAttn_Med_8
7Networks_RH_Limbic_OFC_1,319,Limbic,RH_Limbic_OFC_1
7Networks_RH_Limbic_OFC_2,320,Limbic,RH_Limbic_OFC_2
7Networks_RH_Limbic_OFC_3,321,Limbic,RH_Limbic_OFC_3
7Networks_RH_Limbic_OFC_4,322,Limbic,RH_Limbic_OFC_4
7Networks_RH_Limbic_OFC_5,323,Limbic,RH_Limbic_OFC_5
7Networks_RH_Limbic_OFC_6,324,Limbic,RH_Limbic_OFC_6
7Networks_RH_Limbic_TempPole_1,325,Limbic,RH_Limbic_TempPole_1
7Networks_RH_Limbic_TempPole_2,326,Limbic,RH_Limbic_TempPole_2
7Networks_RH_Limbic_TempPole_3,327,Limbic,RH_Limbic_TempPole_3
7Networks_RH_Limbic_TempPole_4,328,Limbic,RH_Limbic_TempPole_4
7Networks_RH_Limbic_TempPole_5,329,Limbic,RH_Limbic_TempPole_5
7Networks_RH_Limbic_TempPole_6,330,Limbic,RH_Limbic_TempPole_6
7Networks_RH_Limbic_TempPole_7,331,Limbic,RH_Limbic_TempPole_7
7Networks_RH_Cont_Par_1,332,Cont,RH_Cont_Par_1
7Networks_RH_Cont_Par_2,333,Cont,RH_Cont_Par_2
7Networks_RH_Cont_Par_3,334,Cont,RH_Cont_Par_3
7Networks_RH_Cont_Par_4,335,Cont,RH_Cont_Par_4
7Networks_RH_Cont_Par_5,336,Cont,RH_Cont_Par_5
7Networks_RH_Cont_Par_6,337,Cont,RH_Cont_Par_6
7Networks_RH_Cont_Temp_1,338,Cont,RH_Cont_Temp_1
7Networks_RH_Cont_Temp_2,339,Cont,RH_Cont_Temp_2
7Networks_RH_Cont_PFCv_1,340,Cont,RH_Cont_PFCv_1
7Networks_RH_Cont_PFCl_1,341,Cont,RH_Cont_PFCl_1
7Networks_RH_Cont_PFCl_2,342,Cont,RH_Cont_PFCl_2
7Networks_RH_Cont_PFCl_3,343,Cont,RH_Cont_PFCl_3
7Networks_RH_Cont_PFCl_4,344,Cont,RH_Cont_PFCl_4
7Networks_RH_Cont_PFCl_5,345,Cont,RH_Cont_PFCl_5
7Networks_RH_Cont_PFCl_6,346,Cont,RH_Cont_PFCl_6
7Networks_RH_Cont_PFCl_7,347,Cont,RH_Cont_PFCl_7
7Networks_RH_Cont_PFCl_8,348,Cont,RH_Cont_PFCl_8
7Networks_RH_Cont_PFCl_9,349,Cont,RH_Cont_PFCl_9
7Networks_RH_Cont_PFCl_10,350,Cont,RH_Cont_PFCl_10
7Networks_RH_Cont_PFCl_11,351,Cont,RH_Cont_PFCl_11
7Networks_RH_Cont_PFCl_12,352,Cont,RH_Cont_PFCl_12
7Networks_RH_Cont_PFCl_13,353,Cont,RH_Cont_PFCl_13
7Networks_RH_Cont_PFCl_14,354,Cont,RH_Cont_PFCl_14
7Networks_RH_Cont_PFCl_15,355,Cont,RH_Cont_PFCl_15
7Networks_RH_Cont_pCun_1,356,Cont,RH_Cont_pCun_1
7Networks_RH_Cont_pCun_2,357,Cont,RH_Cont_pCun_2
7Networks_RH_Cont_Cing_1,358,Cont,RH_Cont_Cing_1
7Networks_RH_Cont_Cing_2,359,Cont,RH_Cont_Cing_2
7Networks_RH_Cont_PFCmp_1,360,Cont,RH_Cont_PFCmp_1
7Networks_RH_Cont_PFCmp_2,361,Cont,RH_Cont_PFCmp_2
7Networks_RH_Default_Par_1,362,Default,RH_Default_Par_1
7Networks_RH_Default_Par_2,363,Default,RH_Default_Par_2
7Networks_RH_Default_Par_3,364,Default,RH_Default_Par_3
7Networks_RH_Default_Par_4,365,Default,RH_Default_Par_4
7Networks_RH_Default_Par_5,366,Default,RH_Default_Par_5
7Networks_RH_Default_Temp_1,367,Default,RH_Default_Temp_1
7Networks_RH_Default_Temp_2,368,Default,RH_Default_Temp_2
7Networks_RH_Default_Temp_3,369,Default,RH_Default_Temp_3
7Networks_RH_Default_Temp_4,370,Default,RH_Default_Temp_4
7Networks_RH_Default_Temp_5,371,Default,RH_Default_Temp_5
